datetime,bpm,period
2018-05-03 17:58:00.220,108,after jogging
2018-05-03 17:58:00.523,108,after jogging
2018-05-03 17:58:00.822,107,after jogging
2018-05-03 17:58:01.121,107,after jogging
2018-05-03 17:58:01.424,107,after jogging
2018-05-03 17:58:01.723,107,after jogging
2018-05-03 17:58:02.022,10,after jogging
2018-05-03 17:58:02.325,107,after jogging
2018-05-03 17:58:02.624,107,after jogging
2018-05-03 17:59:50.782,10,after jogging
2018-05-03 17:59:50.884,107,after jogging
2018-05-03 17:59:50.983,10,after jogging
2018-05-03 17:59:51.085,107,after jogging
2018-05-03 17:59:51.183,10,after jogging
2018-05-03 17:59:51.286,107,after jogging
2018-05-03 17:59:51.384,1,after jogging
2018-05-03 17:59:51.487,107,after jogging
2018-05-03 17:59:51.585,1,after jogging
2018-05-03 17:59:51.687,107,after jogging
2018-05-03 17:59:51.785,1,after jogging
2018-05-03 17:59:51.888,107,after jogging
2018-05-03 17:59:51.986,10,after jogging
2018-05-03 17:59:52.089,107,after jogging
2018-05-03 17:59:52.289,107,after jogging
2018-05-03 17:59:52.490,107,after jogging
2018-05-03 17:59:52.691,107,after jogging
2018-05-03 17:59:52.891,107,after jogging
2018-05-03 17:59:53.092,107,after jogging
2018-05-03 17:59:53.293,107,after jogging
2018-05-03 17:59:53.494,107,after jogging
2018-05-03 17:59:53.694,107,after jogging
2018-05-03 17:59:53.897,107,after jogging
2018-05-03 17:59:54.096,107,after jogging
2018-05-03 17:59:54.296,107,after jogging
2018-05-03 17:59:54.498,107,after jogging
2018-05-03 17:59:54.698,107,after jogging
2018-05-03 17:59:54.800,107,after jogging
2018-05-03 17:59:54.898,107,after jogging
2018-05-03 17:59:55.001,107,after jogging
2018-05-03 17:59:55.099,107,after jogging
2018-05-03 17:59:55.202,107,after jogging
2018-05-03 17:59:55.300,107,after jogging
2018-05-03 17:59:55.402,107,after jogging
2018-05-03 17:59:55.501,107,after jogging
2018-05-03 17:59:55.603,107,after jogging
2018-05-03 17:59:55.701,107,after jogging
2018-05-03 17:59:55.804,107,after jogging
2018-05-03 17:59:55.902,107,after jogging
2018-05-03 17:59:56.004,107,after jogging
2018-05-03 17:59:56.103,107,after jogging
2018-05-03 17:59:56.205,107,after jogging
2018-05-03 17:59:56.303,107,after jogging
2018-05-03 17:59:56.406,107,after jogging
2018-05-03 17:59:56.504,107,after jogging
2018-05-03 17:59:56.607,107,after jogging
2018-05-03 17:59:56.705,107,after jogging
2018-05-03 17:59:56.807,107,after jogging
2018-05-03 17:59:56.906,107,after jogging
2018-05-03 17:59:57.008,107,after jogging
2018-05-03 17:59:57.106,107,after jogging
2018-05-03 17:59:57.209,107,after jogging
2018-05-03 17:59:57.307,107,after jogging
2018-05-03 17:59:57.409,107,after jogging
2018-05-03 17:59:57.508,107,after jogging
2018-05-03 17:59:57.610,107,after jogging
2018-05-03 17:59:57.708,107,after jogging
2018-05-03 17:59:57.811,80,after jogging
2018-05-03 17:59:57.909,80,after jogging
2018-05-03 17:59:58.011,80,after jogging
2018-05-03 17:59:58.110,80,after jogging
2018-05-03 17:59:58.212,83,after jogging
2018-05-03 17:59:58.311,83,after jogging
2018-05-03 17:59:58.413,83,after jogging
2018-05-03 17:59:58.511,89,after jogging
2018-05-03 17:59:58.613,89,after jogging
2018-05-03 17:59:58.712,89,after jogging
2018-05-03 17:59:58.814,96,after jogging
2018-05-03 17:59:58.913,96,after jogging
2018-05-03 17:59:59.015,104,after jogging
2018-05-03 17:59:59.113,104,after jogging
2018-05-03 17:59:59.216,104,after jogging
2018-05-03 18:00:36.644,77,after jogging
2018-05-03 18:00:36.743,77,after jogging
2018-05-03 18:00:36.845,77,after jogging
2018-05-03 18:00:36.943,77,after jogging
2018-05-03 18:00:37.046,77,after jogging
2018-05-03 18:00:37.144,80,after jogging
2018-05-03 18:00:37.247,80,after jogging
2018-05-03 18:00:37.345,80,after jogging
2018-05-03 18:00:37.447,86,after jogging
2018-05-03 18:00:37.546,86,after jogging
2018-05-03 18:00:37.648,92,after jogging
2018-05-03 18:00:37.746,92,after jogging
2018-05-03 18:00:37.849,92,after jogging
2018-05-03 18:00:37.947,100,after jogging
2018-05-03 18:00:38.049,100,after jogging
2018-05-03 18:00:38.148,100,after jogging
